" 
...wretched",1 – 3,"  +1  Rat on a String
  +1  Silk Scrap
  +1  Foxfire Candle Stub
  +1  Bundle of Ragged Clothing",EOL
" 
...warm",4 – 10,  +2  Nodule of Warm Amber,EOL
" 
...sweet",11 – 20,  +10  Drop of Prisoner's Honey,EOL
" 
...keening",21 – 40,  21-80  Primordial Shriek,EOL
" 
...to burn?",41 – 60,  1-30 Proscribed Material,EOL
" 
...dark",61 – 80,  1-160  Lump of Lamplighter Beeswax,EOL
" 
...delicate",81 – 98,  1-20  Surface-Silk Scrap,EOL
" 
...monstrous",99,"  +1  Starveling Cat
  +1  Appalling Secret
  +1  Tale of Terror!!
  +1  Devilbone Die
  Wounds is increasing... (+ ~1-3 CP)
  Nightmares is increasing... (+1 CP)",EOL
" 
...eclectic",100,"  1-9  Certifiable Scrap
  +1  Devilbone Die",EOL
" 
...troublesome",101 – 199,  1-8  Compromising Document,EOL
" 
...eclectic",200,"  1-9  Certifiable Scrap
  +1  Devilbone Die",EOL

" 
...lethal",201 – 300,  +1  Muscaria Brandy,EOL
" 
...warming",301 – 400,"  +1  Bottle of Broken Giant 1844
  +2  Bottle of Strangling Willow Absinthe
  +2  Bottle of Greyfields 1879",EOL
" 
...contradictory",401 – 500,"  1-10  Venge-Rat Corpse
  2-10  Ostentatious Diamond",EOL
" 
...forbidden",501 – 750,"  1-6  London Street Sign
  +1  Proscribed Material",EOL
" 
...scholarly",751 – 800,  1-8  Volume of Collated Research,EOL
" 
...funereal",801 – 810,"  +1  Baptised Rattus Faber Corpse
  +20  Flask of Abominable Salts
  +2  Venge-Rat Corpse
  +1  Extraordinary Implication",EOL
" 
...diplomatic",811 – 815,"  +1  Nodule of Violet Amber
  +3  Presbyterate Passphrase",EOL
" 
...photographic",816 – 830,  18-816 Cryptic Clue,EOL
" 
...uncertain",831 - 840,  11-22 Dubious Testimony,EOL
" 
...perilous",841 – 950,"  +18  Correspondence Plaque",EOL
" 
...bloodstained",951-1000," 191 Stolen Correspondence
  +1 Touching Love Story",EOL
